Модель,F1,Accuracy
Stacking,0.7191409686412392,0.7830508474576271
Gradient Boosting,0.7158450509788709,0.7751412429378531
Random Forest,0.7117202989612799,0.7887005649717514
CatBoost,0.703658840224291,0.7774011299435029
Neural Network,0.6965565399579062,0.7672316384180791
Logistic Regression,0.679662987118358,0.768361581920904
